municipality,barangay,district,lat,lon,elevation_m,soil_desc,soil_series,aez
Alcala,Anulid,5,15.8479,120.50105,21.0,San Manuel fine sandy loam,San Manuel,Lowlands
Alcala,Atainan,5,15.861267,120.509017,22.0,San Manuel fine sandy loam,San Manuel,Lowlands
Alcala,Bersamin,5,15.837625,120.554212,20.0,San Manuel fine sandy loam,San Manuel,Lowlands
Alcala,Canarvacanan,5,15.841114,120.540286,20.0,San Manuel fine sandy loam,San Manuel,Lowlands
Alcala,Caranglaan,5,15.858829,120.498186,25.0,San Manuel silt loam,San Manuel,Lowlands
Alcala,Curareng,5,15.8638,120.522233,25.0,San Manuel silt loam,San Manuel,Lowlands
Alcala,Gualsic,5,15.87096,120.53908,27.0,San Manuel silt loam,San Manuel,Lowlands
Alcala,Kasikis,5,15.85285,120.544167,22.0,San Manuel sand,San Manuel,Lowlands
Alcala,Laoac,5,15.84218,120.51332,28.0,San Manuel sand,San Manuel,Lowlands
Alcala,Macayo,5,15.87914,120.55634,31.0,San Manuel silt loam,San Manuel,Lowlands
Alcala,PindanganCentro,5,15.862686,120.5499,28.0,San Manuel sand,San Manuel,Lowlands
Alcala,PindanganEast,5,15.86336,120.55856,30.0,San Manuel sand,San Manuel,Lowlands
Alcala,PindanganWest,5,15.86882,120.5512,26.0,San Manuel fine sandy loam,San Manuel,Lowlands
Alcala,PoblacionEast,5,15.8475,120.524571,27.0,San Manuel sand,San Manuel,Lowlands
Alcala,PoblacionWest,5,15.84815,120.528937,28.0,San Manuel sand,San Manuel,Lowlands
Alcala,SanJuan,5,15.83908,120.52136,23.0,San Manuel fine sandy loam,San Manuel,Lowlands
Alcala,SanNicolas,5,15.85454,120.5325,25.0,San Manuel sand,San Manuel,Lowlands
Alcala,SanPedroApartado,5,15.8492,120.56177,21.0,San Manuel fine sandy loam,San Manuel,Lowlands
Alcala,SanPedroIli,5,15.85472,120.53864,27.0,San Manuel sand,San Manuel,Lowlands
Alcala,SanVicente,5,15.85475,120.516175,24.0,San Manuel fine sandy loam,San Manuel,Lowlands
Alcala,Vacante,5,15.843429,120.568429,21.0,San Manuel silt loam,San Manuel,Lowlands
Asingan,AristonEste,6,16.039,120.69976,54.0,San Manuel sandy loam,San Manuel,Lowlands
Asingan,AristonWeste,6,16.031715,120.694769,53.0,San Manuel sandy loam,San Manuel,Lowlands
Asingan,Bantog,6,16.00277,120.684944,42.0,San Manuel sandy loam,San Manuel,Lowlands
Asingan,Baro,6,16.000788,120.665987,45.0,San Manuel sandy loam,San Manuel,Lowlands
