municipality,barangay,district,lat,lon,elevation_m,avg_temp_c,annual_rainfall_mm
Alcala,Anulid,5,15.8479,120.50105,21.0,26.9,2444.7
Alcala,Atainan,5,15.861267,120.509017,22.0,26.91,2444.7
Alcala,Bersamin,5,15.837625,120.554212,20.0,26.94,2561.4
Alcala,Canarvacanan,5,15.841114,120.540286,20.0,26.9,2444.7
Alcala,Caranglaan,5,15.858829,120.498186,25.0,26.91,2444.7
Alcala,Curareng,5,15.8638,120.522233,25.0,26.9,2444.7
Alcala,Gualsic,5,15.87096,120.53908,27.0,26.9,2444.7
Alcala,Kasikis,5,15.85285,120.544167,22.0,26.91,2444.7
Alcala,Laoac,5,15.84218,120.51332,28.0,26.88,2444.7
Alcala,Macayo,5,15.87914,120.55634,31.0,26.9,2721.2
Alcala,PindanganCentro,5,15.862686,120.5499,28.0,26.89,2444.7
Alcala,PindanganEast,5,15.86336,120.55856,30.0,26.89,2561.4
Alcala,PindanganWest,5,15.86882,120.5512,26.0,26.9,2444.7
Alcala,PoblacionEast,5,15.8475,120.524571,27.0,26.88,2444.7
Alcala,PoblacionWest,5,15.84815,120.528937,28.0,26.88,2444.7
Alcala,SanJuan,5,15.83908,120.52136,23.0,26.89,2444.7
Alcala,SanNicolas,5,15.85454,120.5325,25.0,26.91,2444.7
Alcala,SanPedroApartado,5,15.8492,120.56177,21.0,26.94,2561.4
Alcala,SanPedroIli,5,15.85472,120.53864,27.0,26.89,2444.7
Alcala,SanVicente,5,15.85475,120.516175,24.0,26.9,2444.7
Alcala,Vacante,5,15.843429,120.568429,21.0,26.94,2561.4
Asingan,AristonEste,6,16.039,120.69976,54.0,27.16,2222.9
Asingan,AristonWeste,6,16.031715,120.694769,53.0,27.16,2222.9
Asingan,Bantog,6,16.00277,120.684944,42.0,27.37,2288.8
Asingan,Baro,6,16.000788,120.665987,45.0,27.36,2288.8
Asingan,Bobonan,6,16.0401,120.6385,51.0,27.03,2238.0
Asingan,Cabalitian,6,15.980733,120.653367,35.0,27.38,2288.8
Asingan,Calepaan,6,16.026044,120.621267,38.0,27.06,2209.4
Asingan,CarosucanNorte,6,15.979357,120.638829,33.0,27.35,2288.8
Asingan,CarosucanSur,6,15.96051,120.63873,35.0,27.34,2288.8
Asingan,Coldit,6,16.0387,120.64692,50.0,27.14,2222.9
Asingan,Domanpot,6,16.001543,120.643914,39.0,27.34,2288.8
Asingan,Dupac,6,16.029814,120.679436,51.0,27.17,2222.9
Asingan,Macalong,6,16.01705,120.65456,44.0,27.37,2288.8
Asingan,Palaris,6,16.035983,120.631283,43.0,27.05,2238.0
Asingan,PoblacionEast,6,16.010838,120.672363,48.0,27.36,2288.8
Asingan,PoblacionWest,6,16.009167,120.663333,47.0,27.35,2288.8
Asingan,SanVicenteEste,6,16.037267,120.669433,53.0,27.16,2222.9
Asingan,SanVicenteWeste,6,16.031492,120.6546,46.0,27.36,2288.8
Asingan,Sanchez,6,15.989911,120.663578,42.0,27.37,2288.8
Asingan,Sobol,6,16.01492,120.63005,39.0,27.34,2288.8
Asingan,Toboy,6,16.028746,120.637646,48.0,27.32,2288.8
Balungao,AngayanNorte,6,15.911458,120.695,41.0,27.19,2344.7
Balungao,AngayanSur,6,15.90045,120.687892,41.0,27.19,2344.7
Balungao,Capulaan,6,15.91538,120.65932,39.0,27.11,2469.2
Balungao,Esmeralda,6,15.872327,120.709787,71.0,27.04,2303.3
Balungao,Kita-Kita,6,15.89685,120.658475,43.0,27.1,2469.2
Balungao,Mabini,6,15.859441,120.714159,74.0,27.03,2303.3
Balungao,Mauban,6,15.8999,120.718029,45.0,27.18,2344.7
Balungao,Poblacion,6,15.90165,120.66475,40.0,27.09,2469.2
Balungao,Pugaro,6,15.895045,120.672755,44.0,27.09,2465.3
Balungao,Rajal,6,15.910554,120.703369,45.0,27.19,2344.7
Balungao,SanAndres,6,15.865917,120.675075,109.0,26.98,2303.3
Balungao,SanAurelio1st,6,15.902922,120.678267,40.0,27.2,2344.7
Balungao,SanAurelio2nd,6,15.893562,120.6835,43.0,27.19,2344.7
Balungao,SanAurelio3rd,6,15.9173,120.68485,42.0,27.19,2344.7
Balungao,SanJoaquin,6,15.940943,120.70345,40.0,27.19,2344.7
Balungao,SanJulian,6,15.9371,120.671417,38.0,27.2,2344.7
Balungao,SanLeon,6,15.92285,120.710383,42.0,27.19,2344.7
Balungao,SanMarcelino,6,15.936125,120.655012,36.0,27.11,2469.2
Balungao,SanMiguel,6,15.9276,120.65869,38.0,27.11,2469.2
Balungao,SanRaymundo,6,15.926543,120.685443,43.0,27.2,2344.7
Bautista,Artacho,5,15.82542,120.55934,22.0,26.96,2517.6
Bautista,Baluyot,5,15.806614,120.474443,21.0,27.14,2308.8
Bautista,Cabuaan,5,15.809444,120.480122,23.0,27.13,2308.8
Bautista,Cacandongan,5,15.828487,120.490687,25.0,26.88,2444.7
Bautista,Diaz,5,15.80404,120.510033,19.0,27.14,2308.8
Bautista,Ketegan,5,15.82368,120.49276,21.0,26.9,2444.7
Bautista,Nandacan,5,15.81924,120.48736,23.0,27.14,2308.8
Bautista,NibaliwNorte,5,15.8168,120.468983,24.0,27.14,2308.8
Bautista,NibaliwSur,5,15.8119,120.47082,22.0,27.13,2308.8
Bautista,Palisoc,5,15.819143,120.500271,21.0,26.9,2444.7
Bautista,PoblacionEast,5,15.814113,120.485687,22.0,27.14,2308.8
Bautista,PoblacionWest,5,15.813863,120.477375,21.0,27.13,2308.8
